Epochs,Optimizer,Activation_Function,Train_Loss,Train_Accuracy,Train_Precision,Train_Recall,Val_Loss,Val_Accuracy,Val_Precision,Val_Recall
5,RMSprop,tanh,0.10162955911080297,0.9719841480255127,0.2500794529914856,0.9993650913238525,0.0066816058376515585,0.997592568397522,0.34690994024276733,1.0
5,RMSprop,softsign,0.10062017196212851,0.9736508131027222,0.25149354338645935,0.998968243598938,1.7004190087279616,0.7177777886390686,0.23344500362873077,0.942037045955658
6,RMSprop,selu,0.07985524179344966,0.9806349277496338,0.2633020877838135,0.9991269707679749,0.01816085404584808,0.994259238243103,0.39896565675735474,1.0
6,RMSprop,softmax,0.09697043988353904,0.9743650555610657,0.256762832403183,0.9988889098167419,0.3328338527025254,0.9196296334266663,0.2960392236709595,0.9951851963996887
10,RMSprop,selu,0.0476961934557732,0.9872221946716309,0.2759164571762085,0.9993650913238525,0.005945337383992053,0.9983333349227905,0.3877917528152466,1.0
9,RMSprop,relu,0.059763817914219024,0.9857142567634583,0.2653568983078003,0.9990476369857788,0.1763012901652107,0.9648148417472839,0.3276102542877197,1.0
9,RMSprop,softsign,0.0544103110707164,0.9853174686431885,0.27005061507225037,0.9994444251060486,0.1446247869859159,0.9638888835906982,0.34255266189575195,1.0
3,RMSprop,selu,0.1577645209856287,0.9580952525138855,0.24641373753547668,0.997936487197876,0.8358123803255795,0.8101851940155029,0.26090407371520996,0.9737036824226379
6,RMSprop,sigmoid,0.08548285985806225,0.9774603247642517,0.263315349817276,0.998968243598938,0.8998668209209831,0.8279629349708557,0.26931411027908325,0.9896296262741089
7,RMSprop,softsign,0.07175199240593343,0.9804762005805969,0.26238253712654114,0.9993650913238525,3.084349589049816,0.4470370411872864,0.28860726952552795,0.860370397567749
8,RMSprop,softsign,0.06317089671270619,0.983650803565979,0.2652691602706909,0.9992856979370117,0.28223827376740346,0.9451851844787598,0.32246288657188416,0.9979629516601562
9,RMSprop,tanh,0.06092660978953669,0.9844444394111633,0.2711944580078125,0.9995238184928894,0.0010838000472931399,0.9996296167373657,0.4847396910190582,1.0
6,RMSprop,tanh,0.08738853004116598,0.9764285683631897,0.2565680742263794,0.9990476369857788,1.658715705314858,0.6937037110328674,0.26829639077186584,0.9775925874710083
6,RMSprop,relu,0.07521813300358883,0.9796825647354126,0.25457412004470825,0.9993650913238525,0.013030397278336952,0.9974074363708496,0.3724394738674164,1.0
5,RMSprop,elu,0.08386266297533265,0.9776983857154846,0.2523510754108429,0.9988095164299011,0.004052655184972941,0.9988889098167419,0.34742870926856995,0.9996296167373657
7,RMSprop,relu,0.06229035811080567,0.9828571677207947,0.25993645191192627,0.9996825456619263,0.005853998614052595,0.9974074363708496,0.36402857303619385,1.0
10,RMSprop,elu,0.0528915127923418,0.9865872859954834,0.2702772319316864,0.9996825456619263,0.0071894129847626925,0.9983333349227905,0.4086265563964844,1.0
2,RMSprop,sigmoid,0.43802467259977546,0.8599206209182739,0.2321656346321106,0.9967460036277771,5.987792054812114,0.23018518090248108,0.14729678630828857,0.5731481313705444
2,RMSprop,tanh,0.31953730033377986,0.898809552192688,0.22713309526443481,0.9976190328598022,0.6100298891516609,0.8087037205696106,0.2598671615123749,0.9998148083686829
